frame,image load Time,image convertion time,kernel calculation time,image display time 
144,0.248300,0.027100,2.274000,13.436600
145,0.085700,0.023000,2.324100,13.565300
146,0.100200,0.020700,2.235600,12.939600
147,0.097600,0.025000,2.510400,13.059800
148,0.108700,0.024700,2.308900,13.680700
149,0.105900,0.024800,2.539600,13.199900
150,0.108300,0.023900,2.327600,13.565700
151,0.111400,0.028400,2.494800,13.451900
152,0.106700,0.024000,2.306600,13.446400
153,0.119100,0.028400,2.326500,13.512400
154,0.135000,0.024600,2.357300,13.480200
155,0.102800,0.024200,2.408900,13.474300
156,0.100000,0.020500,2.255400,13.620400
157,0.109400,0.025800,2.332300,13.516100
158,0.095400,0.025600,2.344300,13.546900
159,0.138500,0.023900,2.286100,13.562500
160,0.112500,0.022300,2.291500,13.596300
161,0.138900,0.026600,2.629700,13.155900
162,0.099200,0.023800,2.448400,13.408400
163,0.095500,0.024800,2.367700,12.810000
164,0.144500,0.025200,2.520100,13.141800
165,0.112100,0.025000,2.489200,13.234200
166,0.099100,0.023200,2.325400,12.557400
167,0.096900,0.024500,2.324700,13.543700
168,0.097000,0.024200,2.354000,13.652000
169,0.110400,0.026300,2.290200,13.443400
170,0.120900,0.025600,2.339100,13.513000
171,0.090300,0.024600,2.502000,13.113300
172,0.196900,0.032100,2.448800,12.562100
173,0.113000,0.025600,2.441200,13.431700
174,0.145300,0.026300,2.321000,13.511100
175,0.128100,0.024500,2.509000,13.295000
176,0.124800,0.026700,2.431400,13.455100
177,0.118600,0.024000,2.339700,13.509300
178,0.128600,0.027100,2.368100,13.465800
179,0.095600,0.024000,2.466500,13.413700
180,0.119400,0.025400,2.287300,12.567000
181,0.093900,0.020500,2.360500,13.514400
182,0.104200,0.024000,2.350000,13.524700
183,0.091000,0.023300,2.315700,13.564000
184,0.199700,0.030900,2.323000,13.451200
185,0.121900,0.026300,2.363500,13.603200
186,0.161600,0.028000,2.304100,13.377900
187,0.096400,0.023400,2.322800,13.554100
188,0.120700,0.026300,2.435200,13.413200
189,0.090700,0.023800,2.464000,13.422300
190,0.125600,0.025400,2.319900,13.531300
191,0.106200,0.024100,2.341100,13.517500
192,0.104700,0.024100,2.353500,13.526300
193,0.127300,0.026700,2.308600,13.521500
194,0.176000,0.027800,2.342900,13.463300
195,0.141000,0.029600,2.347700,13.581700
196,0.107500,0.024500,2.358100,13.399400
197,0.180600,0.027000,2.314800,13.467800
198,0.112200,0.021300,2.332800,13.527800
199,0.104800,0.025600,2.362300,13.500600
200,0.116700,0.024600,2.309500,12.678000
201,0.109100,0.025100,2.333000,12.776300
202,0.129000,0.027900,2.506300,12.955600
203,0.082500,0.024100,2.362600,13.525900
204,0.189700,0.026300,2.297400,13.599800
205,0.101200,0.024300,2.313800,13.571700
206,0.108100,0.024300,2.519000,13.365700
207,0.124400,0.025700,2.412500,13.282100
208,0.137400,0.022100,2.285000,13.559900
209,0.113300,0.025100,2.372200,13.473300
210,0.109200,0.023900,2.351000,13.530900
211,0.172300,0.026700,2.285600,13.495800
212,0.113100,0.025600,2.352300,13.625600
213,0.096400,0.024500,2.319700,13.439000
214,0.190300,0.024200,2.389900,13.387600
215,0.093300,0.024000,2.440600,13.456500
216,0.116300,0.025100,2.318300,13.531300
217,0.111300,0.025400,2.408200,13.441000
218,0.098200,0.024100,2.329500,13.563800
219,0.121000,0.026800,2.345900,13.483400
220,0.121500,0.026200,2.330400,13.650700
221,0.103900,0.020700,2.259400,13.605100
222,0.107300,0.024000,2.317400,13.436100
223,0.126500,0.023100,2.345400,13.496200
224,0.151500,0.022200,2.285200,13.543300
225,0.116200,0.021900,2.275600,12.555700
226,0.094700,0.024000,2.350700,12.539200
227,0.119600,0.027100,2.328100,13.508700
228,0.140600,0.028200,2.364200,13.470100
229,0.101200,0.023700,2.413000,13.575900
230,0.097200,0.023400,2.305200,13.449300
231,0.089000,0.023400,2.322800,12.689400
232,0.152300,0.026600,2.282700,13.421800
233,0.105400,0.021500,2.254200,12.910700
234,0.142700,0.024700,2.609800,12.922100
235,0.126100,0.024400,2.442400,13.403700
236,0.113500,0.020600,2.351100,13.643900
237,0.114600,0.026800,2.304900,13.407300
238,0.113600,0.025600,2.454300,12.533400
239,0.096900,0.024200,2.314700,13.437900
240,0.124600,0.021800,2.244600,12.908000
241,0.113400,0.025400,2.643600,13.220500
242,0.145100,0.027000,2.506800,13.002500
243,0.099900,0.023700,2.299000,13.570900
244,0.136500,0.019700,2.328900,13.513500
245,0.105700,0.023800,2.342900,13.523100
246,0.113100,0.024600,2.370800,13.301700
247,0.099900,0.024000,2.383000,12.676700
248,0.107400,0.026900,2.320900,13.677300
249,0.125000,0.026700,2.326200,13.529800
250,0.193900,0.026500,2.425400,13.033900
251,0.130700,0.028800,2.539500,13.298700
252,0.100400,0.024200,2.453000,12.587400
253,0.104400,0.024800,2.372200,12.501600
254,0.197400,0.026200,2.335300,13.559600
255,0.113100,0.024100,2.388800,13.338700
256,0.118500,0.024100,2.327800,13.535900
257,0.126700,0.027700,2.357600,13.479100
258,0.101800,0.020400,2.276800,13.604600
259,0.115100,0.022100,2.282400,12.959800
260,0.117500,0.024700,2.508400,12.950700
261,0.116000,0.024800,2.338300,13.517700
262,0.137700,0.021700,2.233700,13.605600
263,0.125000,0.028300,2.326100,13.504000
264,0.112600,0.024100,2.340000,13.528400
265,0.107000,0.024300,2.319000,13.549800
266,0.101300,0.024300,2.447300,12.131400
267,0.114600,0.026800,2.397500,12.744900
268,0.095600,0.024800,2.349800,12.526300
269,0.088100,0.023900,2.350200,12.532400
270,0.122000,0.023900,2.421200,13.436800
271,0.120300,0.024000,2.444900,13.406800
272,0.101200,0.024700,2.315900,13.554400
273,0.093300,0.024000,2.410700,12.593300
274,0.117600,0.020100,2.230000,13.512800
275,0.134300,0.026800,2.391900,13.436600
276,0.155900,0.033000,2.361500,13.443600
277,0.083700,0.023200,2.354700,12.833800
278,0.114300,0.021000,2.233400,12.945000
279,0.112000,0.024600,2.427900,12.809700
280,0.106900,0.025100,2.327200,13.563300
281,0.120500,0.031200,2.590800,13.234200
282,0.132200,0.024200,2.432600,13.535000
283,0.115300,0.021300,2.279600,13.570800
284,0.130500,0.024100,2.310100,13.441000
285,0.113800,0.024100,2.325100,12.805700
286,0.152500,0.026700,2.481900,13.045000
287,0.119200,0.024400,2.432100,13.417000
288,0.149200,0.028100,2.350000,13.465500
289,0.102900,0.020100,2.336600,13.529600
290,0.095800,0.024300,2.336900,12.677300
291,0.121300,0.028700,2.301000,12.406700
292,0.121600,0.025000,2.367500,12.513300
293,0.124400,0.023300,2.283000,12.532500
294,0.111600,0.023400,2.362400,12.506100
295,0.092500,0.019100,2.243200,12.765300
296,0.104400,0.025400,2.331700,13.539300
297,0.117600,0.026200,2.418400,13.299100
298,0.102500,0.023400,2.332500,13.552500
